Name,Zahl,Seitenanzahl,Label (human),Label (LLM)
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / I/O Überblick",8.1,0.5,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / I/O Überblick / Schnittstellen",8.1.1,2,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / I/O Überblick / Protokolle",8.1.2,0.5,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Eingaben",8.2,1,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Eingaben / Command-Line-Interface - CLI",8.2.1,1,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Eingaben / Eingaben mit GUI-Frameworks",8.2.2,1,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Ausgaben",8.3,0.5,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Ausgaben / Command Line Interface - CLI",8.3.1,1,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Ausgaben / Grafische und animierte Ausgaben",8.3.2,1,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Konvertierung",8.4,1,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Konvertierung / Explizite Konvertierung",8.4.1,0.5,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Konvertierung / f-Strings",8.4.2,2,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Takeaways",8.5,1,,
"IV Python anwenden / Eingaben, Ausgaben, Schnittstellen / Übungsaufgaben",8.6,2,,
IV Python anwenden / Kontrollstrukturen,9,1,,
IV Python anwenden / Kontrollstrukturen / Fallunterscheidungen,9.1,1,,
IV Python anwenden / Kontrollstrukturen / Fallunterscheidungen / Einfache Verzweigung,9.1.1,2,,
IV Python anwenden / Kontrollstrukturen / Fallunterscheidungen / Verschachtelte Verzweigung,9.1.2,2,,
IV Python anwenden / Kontrollstrukturen / Fallunterscheidungen / Verschachtelung,9.1.3,2,,
IV Python anwenden / Kontrollstrukturen / Fallunterscheidungen / Schnellschreibweise,9.1.4,1,,
IV Python anwenden / Kontrollstrukturen / Fallunterscheidungen / Beispiel: Ticketpreis,9.1.5,1,,
IV Python anwenden / Kontrollstrukturen / Schleifen,9.2,1,,
IV Python anwenden / Kontrollstrukturen / Schleifen / Die while-Schleife,9.2.1,3,,
IV Python anwenden / Kontrollstrukturen / Schleifen / Die for-Schleife,9.2.2,4,,
IV Python anwenden / Kontrollstrukturen / Comprehensions,9.3,1,,
IV Python anwenden / Kontrollstrukturen / Comprehensions / List-Comprehensions,9.3.1,2,,
IV Python anwenden / Kontrollstrukturen / Comprehensions / Dictionary-Comprehensions,9.3.2,0.5,,
IV Python anwenden / Kontrollstrukturen / Comprehensions / Set-Comprehensions,9.3.3,1,,
IV Python anwenden / Funktionen,10,2,,
IV Python anwenden / Funktionen / Definition und Aufruf,10.1,0.5,,
IV Python anwenden / Funktionen / Definition und Aufruf / Definition und Rückgabewerte,10.1.1,3,,
IV Python anwenden / Funktionen / Definition und Aufruf / Standardargumente und Keyword-Argumente,10.1.2,2,,
IV Python anwenden / Funktionen / Definition und Aufruf / Anwendungsbeispiele,10.1.3,2,,
IV Python anwenden / Funktionen / Namensräume und Seiteneffekte,10.2,0.5,,
IV Python anwenden / Funktionen / Namensräume und Seiteneffekte / Namensräume und Sichtbarkeit,10.2.1,1,,
IV Python anwenden / Funktionen / Namensräume und Seiteneffekte / Seiteneffekte und Mutability,10.2.2,1,,
IV Python anwenden / Funktionen / Rekursion,10.3,1,,
IV Python anwenden / Funktionen / Fortgeschrittene Konzepte - Überblick,10.4,2,,
IV Python anwenden / Funktionen / Übungsaufgaben,10.5,2,,
IV Python anwenden / Objektorientierte Programmierung,11,1,,
IV Python anwenden / Objektorientierte Programmierung / Anwendungsbeispiel,11.1,1,,
IV Python anwenden / Objektorientierte Programmierung / Anwendungsbeispiel / Skript,11.1.1,2,,
IV Python anwenden / Objektorientierte Programmierung / Anwendungsbeispiel / Wrapper-Funktion,11.1.2,2,,
IV Python anwenden / Objektorientierte Programmierung / Anwendungsbeispiel / OOP-Variante,11.1.3,4,,
IV Python anwenden / Objektorientierte Programmierung / Überblick,11.2,0.5,,
IV Python anwenden / Objektorientierte Programmierung / Überblick / Datenstrukturen vs. Klassen,11.2.1,2,,
IV Python anwenden / Objektorientierte Programmierung / Überblick / Klasse vs. Objekt,11.2.2,1,,
IV Python anwenden / Objektorientierte Programmierung / Überblick / Methoden und self,11.2.3,2,,
IV Python anwenden / Objektorientierte Programmierung / Überblick / Klassenattribute,11.2.4,1,,
"IV Python anwenden / Objektorientierte Programmierung / Vererbung, Kapselung und Polymorphie",11.3,0.5,,
"IV Python anwenden / Objektorientierte Programmierung / Vererbung, Kapselung und Polymorphie / Vererbung",11.3.1,3,,
"IV Python anwenden / Objektorientierte Programmierung / Vererbung, Kapselung und Polymorphie / Komposition",11.3.2,1,,
"IV Python anwenden / Objektorientierte Programmierung / Vererbung, Kapselung und Polymorphie / Kapselung",11.3.3,2,,
"IV Python anwenden / Objektorientierte Programmierung / Vererbung, Kapselung und Polymorphie / Polymorphie",11.3.4,2,,
IV Python anwenden / Objektorientierte Programmierung / Objektorientiert vs. prozedural?,11.4,0.5,,
IV Python anwenden / Objektorientierte Programmierung / Übungsaufgaben,11.5,2,,
V Fallbeispiel,,2,,
V Fallbeispiel / Wie werden Programme entwickelt?,12,1,,
V Fallbeispiel / Wie werden Programme entwickelt? / Vorgehen,12.1,2,,
V Fallbeispiel / Wie werden Programme entwickelt? / Problemanalyse,12.2,1,,
V Fallbeispiel / Wie werden Programme entwickelt? / Problemanalyse / Dekomposition,12.2.1,2,,
V Fallbeispiel / Wie werden Programme entwickelt? / Problemanalyse / Recherche,12.2.2,4,,
V Fallbeispiel / Wie werden Programme entwickelt? / Lösung mit Library,12.3,3,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung,12.4,1,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung / Test-Frameworks,12.4.1,1,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung / Problem-Zerlegung,12.4.2,0.5,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung / Parsing,12.4.3,11,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung / Histogram,12.4.4,8,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung / Statistiken,12.4.5,1,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung / Statistiken - Sortieren,12.4.6,6,,
V Fallbeispiel / Wie werden Programme entwickelt? / Eigenentwicklung / Bibliothek statistics,12.4.7,5,,
V Fallbeispiel / Wie werden Programme entwickelt? / Abstraktionsgrad,12.5,2,,
V Fallbeispiel / Wie werden Programme entwickelt? / Takeaways,12.6,1,,
V Fallbeispiel / Wie werden Programme entwickelt? / Übungsaufgaben,12.7,3,,
VI Appendix I,,2,,
VI Appendix I / Beiträge,13,2,,
VI Appendix I / Downloads,14,2,,
VI Appendix I / Literaturverzeichnis,15,4,,
VII Appendix II,,2,,
VII Appendix II / Expertenwissen,16,,,
